date,depth,light_incub,P_manip
,,0,0.0945958756
,,0,0.0890735218
,,0,0.0915279013
,,0.52,0.0872327372
,,0.8,0.0863123449
,,1.88,0.0875395346
,,2.64,0.090607509
,,3.61,0.0893803192
,,4.5,0.0939822808
,,5.81,0.0995046346
,,9.18,0.1007318243
,,10.54,0.1004250269
,,15.58,0.1172988858
,,20.88,0.1188328729
,,42.16,0.1396950985
,,52.33,0.1222076447
,,71.6,0.1461378446
,,76.88,0.135093137
,,97.71,0.135093137
,,109.3,0.1774311829
,,156.46,0.1749768035
,,187.76,
,,217.9,
,,280.1,
,,435.8,0.1952254341
,,609,0.1939982444
,,921.2,0.1507398061
15-06-2015,75,0,0.0864121981
,,0,0.0879929091
,,0,0.0965287482
,,0,0.0917866153
,,0.54,0.0889413356
,,0.91,0.0898897622
,,1.99,0.0955803216
,,2.88,0.0955803216
,,3.54,0.096212606
,,4.5,0.0930511841
,,6.13,0.0977933169
,,8.32,0.1000063122
,,10.04,0.0996901701
,,15.14,0.1047484451
,,18.69,0.1132842841
,,25.44,0.106329156
,,46.3,0.1278268248
,,73.58,0.1107551466
,,81.76,0.1161295638
,,96.97,0.1148649951
,,104.58,0.1047484451
,,150.22,0.1091744357
,,195.91,0.1189748435
,,233,0.1047484451
,,275.5,0.1015870232
,,305.7,0.1031677341
,,408.9,0.1154972795
,,624.5,0.1154972795
17-06-2015,1,0,0.065824282
,,0,0.0710144319
,,0,0.0717558819
,,0.02,0.0678014819
,,0.91,0.0675543319
,,2.07,0.0697786819
,,4.04,0.0720030318
,,6.85,0.0781817817
,,8.79,0.0737330818
,,15.23,0.0947408314
,,21.96,0.0947408314
,,32.63,0.1048739812
,,44.24,0.1256345807
,,63.84,0.1328019306
,,86.61,0.1345319806
,,111.66,0.1449122803
,,143.46,0.1335433806
,,163.41,
,,183.23,0.1491138303
,,207.7,0.1488666803
,,261.1,
,,323.4,0.1552925801
,,299.1,0.1533153802
,,393.4,0.1481252303
,,488.7,0.1436765304
,,574.2,0.1315661806
,,734,
,,1174.6,
17-06-2015,10,0,0.0872843758
,,0,0.0860433657
,,0,0.090386901
,,0,0.0857331132
,,0.82,0.0816998304
,,1.85,0.0851126081
,,3.32,0.090386901
,,5.3,0.0913176586
,,9.18,0.0993842241
,,12.7,0.0965919514
,,20.77,0.1192403854
,,27.85,0.120791648
,,40.33,0.1304094762
,,66.57,0.1558501828
,,84.54,0.1570911929
,,101.27,0.1673295261
,,127.53,0.1623654858
,,157.29,0.15057589
,,174.25,0.1791191219
,,186.73,0.173844829
,,212.5,0.1586424555
,,230.3,0.149955385
,,293.8,0.1688807887
,,341.8,0.1608142232
,,399.1,0.1574014454
,,475.3,0.1750858391
,,650.1,0.1614347282
,,1027.2,0.1763268492
17-06-2015,20,0,0.0924762958
,,0,0.0857831984
,,0.01,0.0871218179
,,0,0.0847792338
,,0.7,0.0954881896
,,1.64,0.0968268091
,,2.77,0.0904683666
,,6.08,0.0961574993
,,7.32,0.102181287
,,10.17,0.097161464
,,13.15,0.1169061013
,,23.17,0.1195833403
,,37.86,0.1366507386
,,59.24,0.1644270929
,,68.71,0.1878529338
,,76.5,0.1513755529
,,96.25,0.1410012519
,,107.26,0.1895262081
,,126.83,0.1687776062
,,144.29,0.1634231282
,,205,0.1594072698
,,226.9,0.1681082964
,,254.5,0.1737974292
,,303.4,0.1590726149
,,370.4,0.1453517653
,,476.6,0.1510408981
,,734.5,0.1483636591
,,1038.6,0.1430091812
17-06-2015,30,0,0.084738745
,,0.01,0.084738745
,,0.01,0.0830287704
,,0.01,0.0830287704
,,0.49,0.0915786437
,,0.95,0.0801788126
,,2.02,0.088728686
,,2.86,0.0816037915
,,4.32,0.09385861
,,5.2,0.0870187113
,,6.53,0.0910086522
,,8.8,0.1024084834
,,11.8,0.1061134285
,,15.56,0.0998435213
,,22.78,0.1311930571
,,45.62,0.1425928882
,,53.58,0.1311930571
,,69.2,0.1386029473
,,83.61,0.1334730233
,,100.89,0.1397429305
,,117.71,0.1431628798
,,159.78,0.1639675717
,,204.3,0.1502877743
,,228.8,0.1386029473
,,316.7,0.1762223902
,,454.2,0.1517127532
,,630.6,0.1451578503
,,1052.8,0.1303380697
