hour,e,depth,e_z,station,tchl,pmax,alpha,beta,kd,p
10.0,215.85546856799994,50.0,0.11938628587589774,PS92_47-04,0.177,0.09573786,0.00462636132645001,4.13430955679951e-5,0.15,5.507055481735988e-4
11.0,227.121665796,0.0,227.121665796,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,3.0095693121793268
11.0,227.121665796,2.1,165.75086480337578,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,3.0247058552264643
11.0,227.121665796,5.0,107.28467832485335,PS92_47-04,2.69,3.31289695,0.054479225783226,0.00128923053673241,0.15,2.6330890134287244
11.0,227.121665796,10.0,50.67769366223963,PS92_47-04,2.932,2.75187194,0.0543781526106819,0.0543781526106819,0.15,0.6395533759524961
11.0,227.121665796,15.0,23.938447456097304,PS92_47-04,1.885,1.6443495,0.0435910422406102,3.01430122523068e-4,0.15,0.7692175724094777
11.0,227.121665796,30.0,2.52309379908759,PS92_47-04,1.681,1.39119544,0.0400912450082601,4.93529545025213e-4,0.15,0.09747675826117523
11.0,227.121665796,50.0,0.12561744347370743,PS92_47-04,0.177,0.09573786,0.00462636132645001,4.13430955679951e-5,0.15,5.793599523340281e-4
12.0,216.17060695200001,0.0,216.17060695200001,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,3.015838030416663
12.0,216.17060695200001,2.1,157.75890389755884,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,3.0207252760427847
12.0,216.17060695200001,5.0,102.11176440984907,PS92_47-04,2.69,3.31289695,0.054479225783226,0.00128923053673241,0.15,2.5899658431336654
12.0,216.17060695200001,10.0,48.23418214858304,PS92_47-04,2.932,2.75187194,0.0543781526106819,0.0543781526106819,0.15,0.6519112093783507
12.0,216.17060695200001,15.0,22.784214345808362,PS92_47-04,1.885,1.6443495,0.0435910422406102,3.01430122523068e-4,0.15,0.7424069573117283
12.0,216.17060695200001,30.0,2.401438524299506,PS92_47-04,1.681,1.39119544,0.0400912450082601,4.93529545025213e-4,0.15,0.09294160743895429
12.0,216.17060695200001,50.0,0.11956058399052183,PS92_47-04,0.177,0.09573786,0.00462636132645001,4.13430955679951e-5,0.15,5.515071893742065e-4
13.0,242.26263270000004,0.0,242.26263270000004,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,2.999647783298782
13.0,242.26263270000004,2.1,176.800573995591,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,3.0269727075627593
13.0,242.26263270000004,5.0,114.43676466646164,PS92_47-04,2.69,3.31289695,0.054479225783226,0.00128923053673241,0.15,2.6860028174321005
13.0,242.26263270000004,10.0,54.05610003233124,PS92_47-04,2.932,2.75187194,0.0543781526106819,0.0543781526106819,0.15,0.6206858176470608
13.0,242.26263270000004,15.0,25.53429362689576,PS92_47-04,1.885,1.6443495,0.0435910422406102,3.01430122523068e-4,0.15,0.8049342867312587
13.0,242.26263270000004,30.0,2.6912947480097675,PS92_47-04,1.681,1.39119544,0.0400912450082601,4.93529545025213e-4,0.15,0.10372027432796302
13.0,242.26263270000004,50.0,0.1339916756172355,PS92_47-04,0.177,0.09573786,0.00462636132645001,4.13430955679951e-5,0.15,6.178556006604481e-4
14.0,216.82237042799994,0.0,216.82237042799994,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,3.0154913260764444
14.0,216.82237042799994,2.1,158.2345536309985,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,3.021026266403701
14.0,216.82237042799994,5.0,102.41963567620967,PS92_47-04,2.69,3.31289695,0.054479225783226,0.00128923053673241,0.15,2.592654239844981
14.0,216.82237042799994,10.0,48.3796102373618,PS92_47-04,2.932,2.75187194,0.0543781526106819,0.0543781526106819,0.15,0.6512108616429435
14.0,216.82237042799994,15.0,22.852909710776498,PS92_47-04,1.885,1.6443495,0.0435910422406102,3.01430122523068e-4,0.15,0.7440261390738826
14.0,216.82237042799994,30.0,2.408678962498142,PS92_47-04,1.681,1.39119544,0.0400912450082601,4.93529545025213e-4,0.15,0.09321197816239887
14.0,216.82237042799994,50.0,0.11992106418213061,PS92_47-04,0.177,0.09573786,0.00462636132645001,4.13430955679951e-5,0.15,5.531651073237413e-4
15.0,188.81802766799996,0.0,188.81802766799996,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,3.0261510219520225
15.0,188.81802766799996,2.1,137.7972958535333,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,2.998780621238421
15.0,188.81802766799996,5.0,89.19132082489067,PS92_47-04,2.69,3.31289695,0.054479225783226,0.00128923053673241,0.15,2.4617259595760905
15.0,188.81802766799996,10.0,42.13099675247148,PS92_47-04,2.932,2.75187194,0.0543781526106819,0.0543781526106819,0.15,0.6763231041464396
15.0,188.81802766799996,15.0,19.90127369950784,PS92_47-04,1.885,1.6443495,0.0435910422406102,3.01430122523068e-4,0.15,0.6716721832586735
15.0,188.81802766799996,30.0,2.0975788157215516,PS92_47-04,1.681,1.39119544,0.0400912450082601,4.93529545025213e-4,0.15,0.0815426335396338
15.0,188.81802766799996,50.0,0.10443229990531198,PS92_47-04,0.177,0.09573786,0.00462636132645001,4.13430955679951e-5,0.15,4.819027804146106e-4
16.0,168.57038649599997,0.0,168.57038649599997,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,3.0256090960707773
16.0,168.57038649599997,2.1,123.02079259601564,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,2.9666425430299648
16.0,168.57038649599997,5.0,79.627012363336,PS92_47-04,2.69,3.31289695,0.054479225783226,0.00128923053673241,0.15,2.344710737036498
16.0,168.57038649599997,10.0,37.613137335135185,PS92_47-04,2.932,2.75187194,0.0543781526106819,0.0543781526106819,0.15,0.6863249408462452
16.0,168.57038649599997,15.0,17.767188020772164,PS92_47-04,1.885,1.6443495,0.0435910422406102,3.01430122523068e-4,0.15,0.6156471567972605
16.0,168.57038649599997,30.0,1.8726478400342312,PS92_47-04,1.681,1.39119544,0.0400912450082601,4.93529545025213e-4,0.15,0.07303841632030085
16.0,168.57038649599997,50.0,0.09323364604071702,PS92_47-04,0.177,0.09573786,0.00462636132645001,4.13430955679951e-5,0.15,4.3034501322904243e-4
17.0,139.63495305599997,0.0,139.63495305599997,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,3.001689043966648
17.0,139.63495305599997,2.1,101.90403519935082,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,2.8831415848579547
17.0,139.63495305599997,5.0,65.95888141721612,PS92_47-04,2.69,3.31289695,0.054479225783226,0.00128923053673241,0.15,2.1375135010088004
17.0,139.63495305599997,10.0,31.156769437703755,PS92_47-04,2.932,2.75187194,0.0543781526106819,0.0543781526106819,0.15,0.6835035127562606
17.0,139.63495305599997,15.0,14.717415773834725,PS92_47-04,1.885,1.6443495,0.0435910422406102,3.01430122523068e-4,0.15,0.5297702312846
17.0,139.63495305599997,30.0,1.5512042101167307,PS92_47-04,1.681,1.39119544,0.0400912450082601,4.93529545025213e-4,0.15,0.06078671809689672
17.0,139.63495305599997,50.0,0.07722991006160006,PS92_47-04,0.177,0.09573786,0.00462636132645001,4.13430955679951e-5,0.15,3.566156949945939e-4
18.0,111.48020334,0.0,111.48020334,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,2.927762887477074
18.0,111.48020334,2.1,81.35701209878415,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,2.733380394880189
18.0,111.48020334,5.0,52.65951935058315,PS92_47-04,2.69,3.31289695,0.054479225783226,0.00128923053673241,0.15,1.8804084980072937
18.0,111.48020334,10.0,24.87459562463372,PS92_47-04,2.932,2.75187194,0.0543781526106819,0.0543781526106819,0.15,0.6536404050660956
18.0,111.48020334,15.0,11.749926986034959,PS92_47-04,1.885,1.6443495,0.0435910422406102,3.01430122523068e-4,0.15,0.43915009537229877
18.0,111.48020334,30.0,1.2384331929866084,PS92_47-04,1.681,1.39119544,0.0400912450082601,4.93529545025213e-4,0.15,0.048753366819704144
18.0,111.48020334,50.0,0.06165795804825632,PS92_47-04,0.177,0.09573786,0.00462636132645001,4.13430955679951e-5,0.15,2.8481987485977556e-4
19.0,88.67564391600001,0.0,88.67564391600001,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,2.7968820596412742
19.0,88.67564391600001,2.1,64.71449834854138,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,2.5316967289865473
19.0,88.67564391600001,5.0,41.88740822869066,PS92_47-04,2.69,3.31289695,0.054479225783226,0.00128923053673241,0.15,1.622600875555237
19.0,88.67564391600001,10.0,19.78621062824222,PS92_47-04,2.932,2.75187194,0.0543781526106819,0.0543781526106819,0.15,0.6023467788426417
19.0,88.67564391600001,15.0,9.346344106270404,PS92_47-04,1.885,1.6443495,0.0435910422406102,3.01430122523068e-4,0.15,0.3602492997208914
19.0,88.67564391600001,30.0,0.9850974212892516,PS92_47-04,1.681,1.39119544,0.0400912450082601,4.93529545025213e-4,0.15,0.038924861834419934
19.0,88.67564391600001,50.0,0.04904511266273444,PS92_47-04,0.177,0.09573786,0.00462636132645001,4.13430955679951e-5,0.15,2.2662694589118432e-4
20.0,77.359311036,0.0,77.359311036,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,2.692885330839263
20.0,77.359311036,2.1,56.45596451519226,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,2.3929088948490578
20.0,77.359311036,5.0,36.54195107649525,PS92_47-04,2.69,3.31289695,0.054479225783226,0.00128923053673241,0.15,1.475278593952905
20.0,77.359311036,10.0,17.261195460434873,PS92_47-04,2.932,2.75187194,0.0543781526106819,0.0543781526106819,0.15,0.5654565746923618
20.0,77.359311036,15.0,8.153611395834472,PS92_47-04,1.885,1.6443495,0.0435910422406102,3.01430122523068e-4,0.15,0.3191589996816597
20.0,77.359311036,30.0,0.8593843184997337,PS92_47-04,1.681,1.39119544,0.0400912450082601,4.93529545025213e-4,0.15,0.034020279906565705
20.0,77.359311036,50.0,0.042786225819416414,PS92_47-04,0.177,0.09573786,0.00462636132645001,4.13430955679951e-5,0.15,1.977363959491787e-4
21.0,70.33315751999999,0.0,70.33315751999999,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,2.6101176473139875
21.0,70.33315751999999,2.1,51.32835585030904,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,2.290221981413987
21.0,70.33315751999999,5.0,33.22303116111317,PS92_47-04,2.69,3.31289695,0.054479225783226,0.00128923053673241,0.15,1.3765979720032966
21.0,70.33315751999999,10.0,15.693448701182337,PS92_47-04,2.932,2.75187194,0.0543781526106819,0.0543781526106819,0.15,0.5381007576239047
21.0,70.33315751999999,15.0,7.4130602635954554,PS92_47-04,1.885,1.6443495,0.0435910422406102,3.01430122523068e-4,0.15,0.292974654641351
21.0,70.33315751999999,30.0,0.7813308034133306,PS92_47-04,1.681,1.39119544,0.0400912450082601,4.93529545025213e-4,0.15,0.030965916741449197
21.0,70.33315751999999,50.0,0.03890017012745756,PS92_47-04,0.177,0.09573786,0.00462636132645001,4.13430955679951e-5,0.15,1.797941797155549e-4
22.0,56.789369244,0.0,56.789369244,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,2.3991184728588
22.0,56.789369244,2.1,41.44424985102856,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,2.048864938677658
22.0,56.789369244,5.0,26.825398582124883,PS92_47-04,2.69,3.31289695,0.054479225783226,0.00128923053673241,0.15,1.1694141607924713
22.0,56.789369244,10.0,12.671421054142035,PS92_47-04,2.932,2.75187194,0.0543781526106819,0.0543781526106819,0.15,0.47453418033115724
22.0,56.789369244,15.0,5.985555481674988,PS92_47-04,1.885,1.6443495,0.0435910422406102,3.01430122523068e-4,0.15,0.24100438112407496
22.0,56.789369244,30.0,0.63087290634056,PS92_47-04,1.681,1.39119544,0.0400912450082601,4.93529545025213e-4,0.15,0.02505834486170825
22.0,56.789369244,50.0,0.031409312519410496,PS92_47-04,0.177,0.09573786,0.00462636132645001,4.13430955679951e-5,0.15,1.4519863874375185e-4
23.0,55.35692204399999,0.0,55.35692204399999,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,2.3720490591050596
23.0,55.35692204399999,2.1,40.39886582149069,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,2.0195182418251925
23.0,55.35692204399999,5.0,26.148758436277358,PS92_47-04,2.69,3.31289695,0.054479225783226,0.00128923053673241,0.15,1.146117002791538
23.0,55.35692204399999,10.0,12.351798881001862,PS92_47-04,2.932,2.75187194,0.0543781526106819,0.0543781526106819,0.15,0.4669069675066623
23.0,55.35692204399999,15.0,5.834576657569173,PS92_47-04,1.885,1.6443495,0.0435910422406102,3.01430122523068e-4,0.15,0.2353901409921696
23.0,55.35692204399999,30.0,0.614959855354545,PS92_47-04,1.681,1.39119544,0.0400912450082601,4.93529545025213e-4,0.15,0.024431999137093357
23.0,55.35692204399999,50.0,0.03061704836202846,PS92_47-04,0.177,0.09573786,0.00462636132645001,4.13430955679951e-5,0.15,1.4153892546267565e-4
